metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
categorical,csi,r2p,Direct R2P,90,1,0.5540404411877473,0.5223311811685563,0.5816107466816902,50000,50000
categorical,pod,r2p,Direct R2P,90,1,0.766441500840827,0.7380622833967209,0.7896927863359451,50000,50000
categorical,far,r2p,Direct R2P,90,1,0.3333917644679946,0.3082097999751568,0.3621357820928096,50000,50000
categorical,frequency_bias,r2p,Direct R2P,90,1,1.149922439731276,1.117703339457512,1.183271169662476,50000,50000
categorical,csi,r2p,Direct R2P,90,5,0.4401250790484609,0.4050207138061523,0.4698173478245735,50000,50000
categorical,pod,r2p,Direct R2P,90,5,0.6053734537625641,0.560183884203434,0.6439501121640205,50000,50000
categorical,far,r2p,Direct R2P,90,5,0.3823667215091884,0.3535888530313968,0.4136229611933231,50000,50000
categorical,frequency_bias,r2p,Direct R2P,90,5,0.9811967336331324,0.9208657443523408,1.039339390397072,50000,50000
categorical,csi,r2p,Direct R2P,90,10,0.3295575941673169,0.2963104531168937,0.3564544841647148,50000,50000
categorical,pod,r2p,Direct R2P,90,10,0.4513392769282242,0.4026037476956844,0.4921050623059272,50000,50000
categorical,far,r2p,Direct R2P,90,10,0.4497614091709179,0.4193714246153831,0.4847663350403309,50000,50000
