route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
pysteps_patch_cnn,pySTEPS + CNN,180,1,3,0.3698693819368976,0.0010918564099428,0.5532968076930712,0.0163512494785471,0.4720869325085668,0.0150671977963069,1.049228792867291,0.0605656505932965
pysteps_patch_cnn,pySTEPS + CNN,180,5,3,0.1736786842131877,0.0072877469186864,0.2311553307769723,0.0143239309783951,0.5879467924073044,0.0057741390858622,0.5613420470421375,0.0417956660242041
pysteps_patch_cnn,pySTEPS + CNN,180,10,3,0.0419953259251683,0.009823246772997,0.0467024856822341,0.0121192209726643,0.694921755956392,0.0089020177161194,0.1538938418846313,0.0435181950694919
pysteps_patch_cnn,pySTEPS + CNN,180,20,3,3.592341128713583e-05,6.222117353051252e-05,3.598546187340315e-05,6.232864829856696e-05,0.9803921568627452,0.0339617805405662,0.0006837237755946,0.000997258372777
exprecast_patch_cnn,exPreCast + CNN,60,1,3,0.5845774769952642,0.009727951144912,0.8090415138856986,0.0077245870510195,0.3216797095053026,0.0170473913831778,1.193361861900184,0.0394255117434232
exprecast_patch_cnn,exPreCast + CNN,60,5,3,0.4769454573912604,0.0048436712757104,0.7035470570000552,0.0251293953742274,0.4021944116955159,0.021719589875692,1.178826367037382,0.0817271769469334
exprecast_patch_cnn,exPreCast + CNN,60,10,3,0.3793618296498215,0.0112103808054754,0.5326897718997855,0.0466587277019562,0.4274272860672639,0.0324440268408888,0.9352502410895278,0.1300874129240921
exprecast_patch_cnn,exPreCast + CNN,60,20,3,0.1124334036319065,0.0208865803544019,0.1179963294828889,0.0248841225188714,0.2710103784179627,0.0574804084832962,0.1644535607614523,0.0492870658682868
exprecast_patch_cnn,exPreCast + CNN,70,1,3,0.5716433573921276,0.0087611324793634,0.7824455731094154,0.0062124726134348,0.32014339578293,0.0171792804357072,1.151531779859286,0.0376397936564138
exprecast_patch_cnn,exPreCast + CNN,70,5,3,0.451861590289738,0.0015644808815482,0.655787270001826,0.0201426106513473,0.4069163613528694,0.018887763829939,1.107163331082716,0.0678615621012682
exprecast_patch_cnn,exPreCast + CNN,70,10,3,0.3434863532652026,0.0094868014953014,0.4766093956033142,0.0343148526925324,0.4459539641664118,0.0239174849371652,0.8630217866210073,0.0968761137891829
exprecast_patch_cnn,exPreCast + CNN,70,20,3,0.0845310360662583,0.0166276366249153,0.087840512432977,0.0187052416972061,0.2886882787019075,0.0455631788297013,0.1249055381625823,0.034940030419543
exprecast_patch_cnn,exPreCast + CNN,80,1,3,0.5573846755715136,0.006764276105481,0.7585295026784524,0.0084566962218678,0.3221325814045562,0.0168681701936707,1.119656919878966,0.0399833352305974
exprecast_patch_cnn,exPreCast + CNN,80,5,3,0.4303537716382553,0.0016870158057639,0.6073990088793202,0.0240635011551695,0.4026878133724872,0.0213550138825736,1.018675872963298,0.075111785980406
exprecast_patch_cnn,exPreCast + CNN,80,10,3,0.3043014192169285,0.0136217488665082,0.4011434531892701,0.036644917233912,0.4382326253245958,0.0290469665287639,0.717511956072504,0.0997366357588915
exprecast_patch_cnn,exPreCast + CNN,80,20,3,0.0538311891983055,0.0095714770387402,0.0551297275900536,0.010221328225967,0.2926121167185758,0.0414262327752956,0.0784123214221454,0.0177332398251337
exprecast_patch_cnn,exPreCast + CNN,90,1,3,0.5423205648629632,0.005245066575894,0.7388033882635857,0.0094482454401677,0.3287690520202899,0.0159143195006899,1.101299099053112,0.0398684119065368
exprecast_patch_cnn,exPreCast + CNN,90,5,3,0.4057034193533534,0.0052023071802999,0.5562802824736403,0.026913527140066,0.398758220268775,0.0212550916755066,0.9270120726482116,0.0760841170033825
exprecast_patch_cnn,exPreCast + CNN,90,10,3,0.2608394968941048,0.0192365285638378,0.3267205919977957,0.0387244609509526,0.4296256211579046,0.0317032094422137,0.5764204601365847,0.0972422226470529
