case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,180,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,5489,1646,2269,8262,17666,144,0.5836877924287537
1,17 July 2025,180,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,1754,1439,1711,12762,17666,144,0.3576672104404568
1,17 July 2025,180,10,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,619,1085,658,15304,17666,144,0.2620660457239627
1,17 July 2025,180,20,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,19,738,23,16886,17666,144,0.0243589743589743
1,17 July 2025,180,1,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,5385,1750,2092,8439,17666,144,0.5836133087677469
1,17 July 2025,180,5,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,1765,1428,1694,12779,17666,144,0.3611622672396153
1,17 July 2025,180,10,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,647,1057,734,15228,17666,144,0.2653814602132895
1,17 July 2025,180,20,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,26,731,37,16872,17666,144,0.0327455919395466
1,17 July 2025,180,1,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,5349,1786,2045,8486,17666,144,0.5826797385620915
1,17 July 2025,180,5,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,1609,1584,1458,13015,17666,144,0.3459471081487852
1,17 July 2025,180,10,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,578,1126,471,15491,17666,144,0.2657471264367816
1,17 July 2025,180,20,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,13,744,19,16890,17666,144,0.0167525773195876
1,17 July 2025,180,1,direct_r2p,Direct R2P,0,0,,,6240,895,4174,6357,17666,144,0.5517729242196481
1,17 July 2025,180,5,direct_r2p,Direct R2P,0,0,,,1740,1453,1511,12962,17666,144,0.3698979591836734
1,17 July 2025,180,10,direct_r2p,Direct R2P,0,0,,,555,1149,664,15298,17666,144,0.234375
1,17 July 2025,180,20,direct_r2p,Direct R2P,0,0,,,59,698,113,16796,17666,144,0.067816091954023
1,17 July 2025,180,1,direct_r2p,Direct R2P,1,1,,,5879,1256,3929,6602,17666,144,0.5313629790310919
1,17 July 2025,180,5,direct_r2p,Direct R2P,1,1,,,1550,1643,1469,13004,17666,144,0.3324753324753324
1,17 July 2025,180,10,direct_r2p,Direct R2P,1,1,,,356,1348,275,15687,17666,144,0.17988883274381
1,17 July 2025,180,20,direct_r2p,Direct R2P,1,1,,,3,754,2,16907,17666,144,0.0039525691699604
1,17 July 2025,180,1,direct_r2p,Direct R2P,2,2,,,5936,1199,3462,7069,17666,144,0.560158535434557
1,17 July 2025,180,5,direct_r2p,Direct R2P,2,2,,,1172,2021,853,13620,17666,144,0.2896688086999505
1,17 July 2025,180,10,direct_r2p,Direct R2P,2,2,,,287,1417,214,15748,17666,144,0.1496350364963503
1,17 July 2025,180,20,direct_r2p,Direct R2P,2,2,,,20,737,25,16884,17666,144,0.0255754475703324
2,21 September 2024,60,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,10048,530,1933,5183,17694,144,0.8031332427463832
2,21 September 2024,60,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,3940,1569,1058,11127,17694,144,0.5999695446931628
2,21 September 2024,60,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,1115,1519,289,14771,17694,144,0.3814574067738625
2,21 September 2024,60,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,34,869,0,16791,17694,144,0.0376522702104097
2,21 September 2024,60,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,9821,757,1584,5532,17694,144,0.8075152113139287
2,21 September 2024,60,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,3775,1734,907,11278,17694,144,0.5883728179551122
2,21 September 2024,60,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,1139,1495,310,14750,17694,144,0.3868885869565217
2,21 September 2024,60,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,41,862,1,16790,17694,144,0.0453539823008849
2,21 September 2024,60,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,9761,817,1535,5581,17694,144,0.8058284487740445
2,21 September 2024,60,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,3695,1814,822,11363,17694,144,0.5836360764492181
2,21 September 2024,60,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,1059,1575,223,14837,17694,144,0.3706685334266713
2,21 September 2024,60,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,8,895,0,16791,17694,144,0.0088593576965669
2,21 September 2024,60,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,9739,839,1190,5926,17694,144,0.8275832766825288
2,21 September 2024,60,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,4230,1279,1324,10861,17694,144,0.6190545880286843
